phi_r,theta_r
30.8770,-14.4882
23.9899,-3.6309
-0.0118,-0.0061
12.6258,5.9839
11.7370,4.2620
2.0733,12.1497
-5.1532,16.0015
-7.4396,14.1714
-0.0016,-0.0074
-6.3268,10.0653
-8.6344,19.4824
-11.9882,29.7373
-10.9344,27.9508
-8.9704,13.1541
-0.0034,0.0089
-8.4500,15.9595
-8.6075,16.4547
-3.4306,17.6286
1.6580,18.5365
3.6803,18.4506
-0.0137,-0.0255
10.4003,15.5179
12.3085,33.2568
13.7124,55.6928
12.2758,68.9073
12.7850,61.8808
-0.0111,-0.0571
15.6187,42.4440
20.1633,33.9777
26.3918,25.7148
37.3458,19.1740
49.6448,10.4838
-0.0340,0.0397
63.1693,-10.0434
78.8578,-20.5559
98.0706,-27.5649
112.2613,-39.5444
119.5713,-49.6106
-0.0254,-0.0385
108.0437,-31.2316
111.4849,-17.5204
123.8261,-11.4946
133.8804,-11.0992
128.8808,5.5968
-0.0331,-0.0198
125.5258,51.8203
145.8407,75.7239
167.1736,73.9203
173.3605,51.7738
155.7263,51.4953
-0.0145,-0.0072
123.1897,80.3056
133.3550,61.9691
128.0427,53.8808
100.7660,89.5083
80.2632,114.5685
0.0119,-0.0501
76.8680,131.8164
25.7762,152.3182
-40.0087,186.7875
-74.6857,194.3034
-79.9080,151.6271
-0.0115,0.0703
-123.9284,114.4975
-160.1434,120.6485
-180.5508,111.0375
-185.4413,87.1278
-177.7669,66.8374
-0.0116,0.0781
-211.9074,54.7367
-236.3130,45.5675
-245.5550,43.7610
-223.3964,55.6988
-195.9726,57.0309
-0.0075,0.1019
-180.5043,46.3297
-156.0483,25.7877
-119.9371,-0.8890
-103.8055,-5.9574
-106.9606,3.2158
0.0165,0.0987
-50.1709,-24.9094
-20.4828,-29.4927
-7.3845,-25.0590
5.5249,-17.4849
25.4959,-19.2885
-0.0193,-0.0351
90.2812,-93.3552
73.8933,-108.0212
52.4731,-105.9409
58.0247,-105.4062
64.4251,-91.7118
-0.0134,0.0154
49.8180,-27.6491
45.3909,5.5915
48.0327,18.6107
44.5384,18.8734
22.9435,-2.7423
-0.0051,0.0061
5.7887,2.7517
18.2261,10.3426
23.4303,17.4956
18.0257,18.4413
6.6750,11.0786
-0.0030,-0.0087
5.9392,5.7830
11.4978,6.4427
9.8666,8.4667
5.7298,2.9029
1.6832,-4.6485
-0.0068,0.0290
5.1526,-2.9480
2.3796,2.5230
-3.5167,1.6702
-16.0402,6.4771
-26.7777,15.3050
0.0124,-0.0206
-29.5906,24.9073
-34.3070,25.5432
-40.9861,28.4785
-42.4855,31.8388
-39.7562,36.5825
0.0034,-0.0474
-18.9855,42.4995
-6.3271,32.0998
-3.0684,26.0411
2.2776,18.0045
11.3737,13.7086
-0.0257,-0.0104
33.3973,17.4763
32.9129,15.6814
35.0130,19.5890
40.6030,25.3492
47.8750,29.4562
-0.0307,-0.0206
46.6709,30.9887
36.7485,45.5791
42.5889,46.0596
58.1953,32.2524
71.9333,22.5268
-0.0325,0.0242
75.9803,19.1954
80.0942,4.8090
85.6262,-3.1305
90.5864,-6.1363
92.3999,-12.4432
-0.0361,0.0051
89.2382,-14.6743
98.0987,-17.9146
106.7606,-36.5107
105.7831,-32.1062
98.3321,-14.6707
-0.0357,0.0063
94.7592,-5.6733
98.8668,-12.0818
97.2242,-3.6345
82.0094,15.4108
85.1385,12.1096
-0.0301,-0.0299
94.6658,16.2770
98.6107,36.9732
97.7825,49.6352
88.8821,46.1812
53.3538,73.6024
-0.0002,-0.1106
7.3147,95.0376
-5.2680,104.0347
-20.3833,121.4576
-43.7940,146.6728
-57.8598,147.0214
-0.0287,-0.0218
-118.5324,152.3891
-131.4083,116.4570
-142.0739,108.6968
-157.1600,126.3997
-174.8815,121.3393
-0.0055,0.0854
-177.2312,34.6799
-187.7672,29.6446
-198.1111,22.6453
-191.9316,20.8825
-169.1133,33.8657
0.0087,0.1069
-110.7786,21.8735
-105.0433,27.2045
-98.4186,32.0500
-73.3505,9.3860
-47.3365,-30.1172
-0.0025,0.0924
-9.8925,-76.8922
-12.2315,-50.9451
-10.4299,-28.2386
13.0359,-22.5789
28.0355,-15.8035
-0.0190,-0.0407
17.3930,-15.7437
19.6354,0.7745
27.3891,27.8553
32.5800,34.7601
34.6313,0.9762
-0.0253,0.0032
29.0653,-14.6395
36.7869,-11.3631
49.8301,-11.3487
44.8779,-8.7624
33.9428,1.8435
-0.0155,0.0031
21.7977,9.9556
26.0536,3.9005
27.6093,-6.4877
19.6742,-5.5999
12.0791,0.9648
-0.0095,0.0073
6.2615,3.7325
7.1137,-0.1661
7.3563,-10.2274
4.0398,-11.7140
-3.1015,-5.9973
-0.0029,0.0209
-1.5975,0.4339
4.2456,0.7887
7.0564,0.2584
5.2168,0.2223
0.9634,-0.6488
-0.0038,0.0135
-1.7617,10.6762
2.2478,9.4422
2.1267,5.4185
1.1167,1.2319
-0.8349,0.9010
-0.0035,0.0208
-4.1943,8.2685
-2.0023,4.1089
-0.0586,-0.2885
2.5031,-3.7206
3.4617,-4.7549
-0.0111,0.0315
8.1712,-6.7160
10.2395,-10.0833
10.4839,-8.0005
9.1763,-0.6940
11.6158,-1.3686
-0.0139,0.0239
13.2525,-3.0728
11.9153,-5.7756
