phi_r,theta_r
54.6824,37.4202
65.1952,38.8024
71.4583,27.3177
65.5517,17.1628
58.0749,30.2821
-0.0207,0.0055
69.6500,54.6769
73.7018,51.9773
72.6745,34.4533
76.6858,18.2184
79.0326,16.8108
-0.0290,0.0184
68.8030,46.7479
71.7966,44.6134
86.4205,38.2676
96.2064,48.7986
95.3193,50.5911
-0.0218,0.0120
81.9067,55.4274
88.6669,41.7473
99.3133,13.3512
100.5073,-1.7893
98.4371,-23.6578
-0.0283,0.0583
59.9077,-12.0147
52.1074,-6.8288
59.4126,-35.5358
68.6073,-52.6011
61.9285,-48.7938
-0.0108,0.0913
37.1728,-58.3739
32.1513,-79.9314
-3.0761,-61.5078
-39.9581,-39.3934
-59.0633,-42.7391
0.0202,0.0020
-69.2219,-56.9563
-77.8938,-50.3203
-85.9282,-46.7674
-89.1332,-54.8225
-93.0293,-54.4757
0.0299,-0.0396
-94.6508,-4.3274
-86.5089,-0.1075
-69.2720,-12.0470
-54.2665,-11.9450
-50.3971,12.2994
0.0330,-0.0188
-60.8857,29.8012
-56.5848,52.2418
-41.8758,54.1533
-33.4428,41.1552
-32.0753,35.7913
0.0137,-0.0448
-28.8585,41.5261
-14.0722,26.4288
-4.4696,18.6887
-0.9330,17.4611
-3.1398,14.8737
-0.0037,0.0198
-1.7776,8.2475
-0.3963,15.0630
0.9150,14.6502
6.2805,9.9421
6.7748,3.3803
-0.0069,0.0176
1.9425,13.7610
4.3924,6.3608
2.7371,5.9186
3.9300,5.1041
3.4088,4.1263
-0.0048,0.0358
-1.4430,2.1819
-2.2520,7.7130
-2.7119,11.4105
-3.0723,5.4049
-3.5191,0.8838
-0.0026,0.0370
-4.0109,5.6544
-3.8437,2.7336
-0.4679,-1.3685
3.4768,-4.3724
6.6654,-3.2190
-0.0072,0.0408
1.1533,-4.0844
-0.7671,-8.4736
1.6128,-6.4521
2.9788,-1.8599
3.7693,-1.8726
-0.0059,0.0464
-0.4992,-4.8065
-1.9834,-2.2523
2.0700,0.4831
7.5274,0.8027
9.7119,-0.0245
-0.0079,0.0343
3.6296,-0.2197
8.3730,-4.1027
13.9120,-3.6587
16.0624,0.4845
8.3541,1.7785
-0.0059,0.0400
8.1530,-7.6221
10.5212,-8.0460
12.4577,-2.6579
9.4512,-7.7232
8.0790,-22.5351
-0.0099,0.0995
17.6118,-64.4762
16.4843,-89.6445
7.6708,-126.3602
-1.6089,-187.8237
-20.5469,-215.7619
-0.0313,-0.0036
-78.9751,-166.1957
-80.0960,-141.7225
-66.3564,-133.8385
-58.7158,-103.0754
-56.0819,-78.8259
0.0128,0.0164
-50.4868,-49.9584
-38.9924,-47.9842
-30.4989,-53.7343
-36.2297,-31.0983
-43.5417,0.7651
0.0147,-0.0942
-21.3519,9.1961
-4.0742,-0.7915
7.3279,4.8009
7.1303,22.7467
6.2708,35.8308
-0.0155,-0.0822
23.7875,36.4752
38.4981,41.9763
48.3661,38.7794
44.5759,35.7463
35.4062,36.9488
-0.0209,-0.0118
47.9941,42.8775
58.8730,26.0675
62.6007,26.6194
50.5786,28.8996
42.1644,32.5899
-0.0215,0.0084
56.5913,46.1266
62.1234,39.6738
66.2229,36.7469
57.6347,69.2529
55.7067,82.4073
-0.0103,0.0080
75.2198,45.1180
90.0344,22.3442
104.5226,8.0580
110.4827,10.1315
111.0315,4.9835
-0.0344,0.0484
85.0727,16.5484
77.0587,14.6139
83.6146,-0.5692
79.6850,-11.7193
68.1229,-10.9910
-0.0229,0.0720
65.0925,-61.0956
67.7566,-85.0672
50.2099,-82.9961
32.4766,-65.6509
23.6419,-45.2780
-0.0028,0.0849
14.6811,-33.9972
-3.6303,-40.1129
-17.3924,-46.5016
-25.4411,-40.3439
-32.8964,-28.4919
0.0289,0.0147
-74.1233,-43.2125
-90.5932,-43.4818
-95.2237,-31.9673
-90.6887,-19.6808
-84.8647,-1.4938
0.0355,-0.0369
-75.7283,19.4778
-64.0803,21.0139
-43.8371,19.4427
-25.8527,14.9213
-16.4301,9.9619
0.0051,0.0171
-4.9709,-0.5349
4.0313,-0.1183
12.2172,-6.4266
15.5800,-9.1976
11.6597,-2.6988
-0.0081,0.0286
8.0060,3.1187
12.3730,-8.1448
15.4522,-10.3753
15.6401,-1.5994
13.2261,3.9397
-0.0076,0.0138
5.5273,-1.8023
4.0356,1.7589
5.1604,7.8795
7.5463,7.3838
6.9056,1.0453
-0.0038,0.0286
-0.4658,1.0075
-1.1705,4.3949
1.9570,6.9657
5.0852,14.0669
4.1393,16.7768
-0.0035,-0.0103
2.9424,0.5139
2.8408,1.7295
2.1807,6.4940
0.5582,7.2763
1.0719,1.4164
-0.0041,0.0294
4.4370,2.6032
0.3971,5.5950
1.4851,-1.0131
2.9998,-5.4762
3.6031,-4.7956
-0.0026,0.0214
0.6941,2.4730
-0.2666,-0.9262
0.0912,-5.7958
2.0866,-3.2798
5.0647,2.3712
-0.0058,0.0110
6.3986,1.2157
3.5377,-5.4157
2.8381,-5.4669
5.1064,-1.4074
6.3833,2.6746
-0.0025,0.0115
0.5499,-1.2987
1.0122,-4.3525
4.8736,-4.5331
9.5878,-2.5188
13.0528,-4.6424
-0.0099,0.0403
11.9039,-16.9647
13.4251,-27.4035
12.8252,-40.3592
3.7028,-54.7200
-10.5998,-63.8572
0.0087,0.0893
-33.2307,-69.4418
-41.5978,-83.8277
-52.9310,-93.8902
-63.3297,-76.6705
-65.1992,-81.1799
0.0086,0.0123
-76.5561,-69.2520
-72.2347,-48.6557
-65.3238,-50.1382
-61.5779,-49.4699
-59.5362,-43.1972
0.0225,-0.0075
-53.8892,-34.3508
-44.1498,-14.2193
-29.0404,4.2497
-12.4599,3.8258
-12.1016,-2.0332
0.0005,-0.0502
-13.7919,35.4747
0.4877,45.7657
10.2330,42.0959
10.2525,30.0914
8.1349,28.7402
-0.0162,-0.0379
26.5701,30.8359
37.5687,27.1733
34.5593,24.9257
32.7847,23.0810
40.4852,20.6623
-0.0287,0.0456
61.7601,11.9129
66.6933,20.1804
66.3760,38.3712
80.7460,28.2852
111.5190,9.2325
-0.0172,0.0820
148.4710,13.8029
122.3033,25.4811
102.0015,24.7310
103.1661,27.5587
112.8509,38.4629
-0.0304,0.0563
92.1631,19.5740
76.5521,33.2063
82.0358,34.5617
91.1137,9.1254
90.4268,-14.0669
-0.0228,0.0772
59.7870,-52.6481
54.0240,-72.9077
34.3656,-82.9206
9.4896,-72.6875
4.0158,-74.5949
0.0006,0.1138
9.8835,-46.1840
-9.7586,-37.5565
-16.1528,-53.4632
-36.7942,-37.3905
-50.8178,-12.5597
0.0361,0.0136
-62.4863,-33.3545
-73.0501,-38.6102
-77.3193,-24.3259
-77.2721,-10.4478
-78.0046,2.6836
0.0375,-0.0180
-68.4945,-4.5568
-62.5378,-2.9272
-55.0467,19.5141
-40.8068,20.5651
-19.5963,3.6496
0.0084,0.0291
-9.2322,9.9817
-14.7406,23.4180
-16.5380,26.6686
-10.0489,14.2811
-6.9969,10.7552
0.0046,0.0080
-13.4784,9.1464
-16.0639,0.0551
-8.1351,-2.0735
4.6800,1.4521
10.3360,6.1855
-0.0050,0.0205
-2.4593,-3.7130
-3.9185,-9.1138
1.0601,-4.5686
5.6906,4.4144
7.0086,1.9790
0.0003,0.0358
-8.8027,-4.8794
-3.8304,-1.3549
4.5855,0.7959
9.1041,-13.3965
3.8487,-25.5271
0.0005,0.0583
-1.8956,6.9919
2.7835,17.2304
4.6318,14.4638
2.1740,5.5280
-1.5668,4.4191
-0.0021,0.0120
4.3984,12.9023
6.3539,11.1661
1.2296,6.3108
-0.5158,1.6581
1.3974,-0.5844
-0.0027,0.0259
1.4406,1.3006
1.4379,2.8142
4.3062,0.3185
5.7538,-0.0475
3.8706,-0.9551
-0.0023,0.0287
0.6831,-1.1625
4.9521,-9.8224
9.8397,-18.1977
11.8620,-16.8518
5.6092,-6.0251
-0.0033,0.0281
6.2087,-10.0989
9.0497,-14.2597
7.9073,-11.8289
3.5654,-12.9158
4.2232,-19.9963
-0.0034,0.0703
2.6438,-43.5376
-2.2365,-62.3384
-11.6591,-88.2901
-28.1702,-98.7754
-34.8783,-96.9398
-0.0030,0.0862
-33.9133,-103.4653
-37.4310,-97.2418
-41.8753,-72.9192
-40.6728,-59.6840
-38.8386,-62.3437
0.0101,0.0544
-39.5028,-34.3531
-38.6203,1.4454
-45.1977,21.9064
-51.8899,11.6632
-47.8844,4.3292
0.0201,-0.0444
-40.0652,22.2991
-41.4200,29.7357
-34.6328,20.0890
-25.8151,24.4012
-14.9848,39.2857
-0.0030,-0.0966
-4.3987,47.0219
-3.3803,40.5025
-0.7951,48.2297
2.1787,57.1429
1.2462,63.0654
-0.0065,-0.0611
8.9036,46.8269
18.5962,48.7100
21.6994,48.3853
16.9592,45.1942
9.2405,50.3111
-0.0095,-0.0407
19.5041,47.1615
25.9172,56.8962
26.8245,52.8385
31.5585,44.8551
40.0788,42.8122
-0.0194,0.0056
50.8854,36.0472
54.5316,35.8294
55.7415,40.8744
56.2581,41.5070
59.9054,40.8838
-0.0164,0.0297
65.1000,35.5604
63.0534,24.4439
53.8061,27.7639
38.2629,56.2525
27.4120,80.1415
-0.0123,0.0074
61.9708,9.8024
80.9267,-3.9471
85.2893,-11.2462
78.5550,-16.1929
70.4982,-9.5100
-0.0218,0.0674
86.2570,-26.1223
109.3004,-56.9223
114.8839,-62.3610
107.7510,-63.6221
107.2701,-85.0403
0.0152,-0.0314
113.7176,-139.0458
85.8433,-120.1656
55.2432,-96.6014
29.8351,-87.0251
13.9957,-77.6430
0.0021,0.1114
6.1034,-92.7050
-31.7218,-94.2938
-77.9504,-81.0891
-117.0456,-74.5762
-128.7472,-46.6708
0.0185,-0.0627
-99.2915,-26.8722
-89.8955,-22.0752
-80.9665,-15.8897
-59.7757,-4.0298
-30.1599,-6.4496
0.0106,0.0209
-17.1510,-6.1715
-22.7328,4.3598
-17.4930,15.4483
-7.1647,17.5716
2.6036,12.5525
0.0008,0.0044
-7.4292,11.9947
-12.1616,13.0309
-3.2946,12.4077
7.3776,11.4844
12.8253,5.5981
-0.0014,0.0272
-6.0670,7.8152
-6.6668,9.9477
-2.3618,5.6771
1.9049,7.5028
7.0787,6.4158
-0.0027,0.0243
5.8930,7.7495
5.4021,4.2481
1.7621,5.3746
1.0129,4.0886
4.8164,2.8618
-0.0045,0.0353
4.1971,-3.4522
-0.0729,-4.5638
-3.2966,-2.3553
-5.4766,2.8639
-3.1132,2.3410
-0.0002,0.0275
0.9860,0.2659
-1.9050,0.4539
-3.0721,-2.1895
-1.7976,-3.4584
0.9178,-2.2129
-0.0007,0.0360
1.4512,-4.2395
-0.0511,-6.0503
-1.6837,-3.8113
-2.6649,-0.5918
-4.0344,-0.3067
0.0009,0.0369
-3.2511,-3.5703
-5.3489,-3.6219
-5.7739,1.6426
-1.6485,2.9115
2.0505,-2.6377
0.0006,0.0412
-3.1267,-4.0095
-1.1820,-1.9107
2.1833,-0.8542
4.6331,-1.7585
2.6335,-4.3112
-0.0001,0.0348
0.6169,3.3187
2.8675,4.1346
2.0735,1.2682
-1.1364,-5.4007
-2.4517,-5.0036
-0.0003,0.0356
3.2612,-2.6734
0.5789,-4.2847
-0.1272,-10.1373
0.9916,-15.4182
2.4577,-18.2985
-0.0062,0.0681
6.9837,-21.0653
10.5327,-35.3417
11.5429,-55.0133
14.6421,-111.9698
5.5971,-158.6516
-0.0157,0.0208
-37.7034,-137.8008
-57.1591,-76.7744
-67.9761,-46.6079
-71.8583,-58.7939
-81.3411,-72.1896
0.0093,-0.0414
-103.9630,-66.8591
-100.0047,-56.1229
-83.7291,-51.1160
-64.6362,-59.0442
-48.6433,-62.0468
0.0162,0.0371
-40.8789,-14.7206
-42.0533,-4.2708
-31.4849,-2.9032
-12.5819,-4.6370
4.2177,7.3214
-0.0166,-0.0459
16.6377,43.2636
22.2896,36.5062
28.2594,23.7376
33.4015,30.8337
37.0457,43.8135
-0.0150,-0.0373
30.6191,54.5845
40.4426,42.5403
51.7313,38.2514
54.4854,41.8507
44.3667,39.6044
-0.0237,0.0333
62.1716,21.6423
76.6228,14.5145
80.4492,9.3871
76.0296,7.7555
74.1978,8.0370
-0.0294,0.0195
85.5753,56.5580
101.1302,41.9544
102.6886,36.7074
95.8446,34.9270
92.8063,34.6498
-0.0307,0.0456
101.3224,15.5891
105.2107,9.1191
97.1937,10.6057
85.6732,-4.8087
77.9756,-26.1814
-0.0237,0.0751
61.4677,-30.3838
47.9034,-34.3217
43.9278,-49.2143
43.4848,-61.3146
33.4315,-59.1353
-0.0036,0.1106
34.7089,-70.3084
44.6480,-88.4354
51.2069,-94.6279
45.5567,-89.1029
37.3494,-80.7592
-0.0003,0.1138
8.7880,-86.6036
-20.6862,-80.1052
-35.7893,-62.7623
-30.9070,-60.3507
-32.7881,-52.2620
0.0247,0.0228
-67.4285,-51.6693
-68.0300,-48.9876
-59.9955,-26.6485
-52.7737,-2.4441
-44.5209,0.8876
0.0331,-0.0174
-36.5789,6.8443
-36.5257,20.9182
-41.6749,31.1215
-38.7222,23.1230
-22.1016,17.7477
0.0132,-0.0327
-8.9828,21.1542
-17.8830,17.9333
-25.4086,25.6239
-23.3043,27.6981
-16.4507,26.6818
0.0084,-0.0072
-16.8909,25.4940
-20.4782,11.4793
-10.2523,3.6456
6.6022,4.3424
8.5879,7.8689
0.0015,0.0133
-8.9082,-2.9344
-11.2628,-1.3751
-7.5145,3.4871
-1.5128,6.3631
1.7449,4.1404
0.0017,0.0233
-2.8151,0.4637
-1.1506,6.0189
3.6268,10.6988
6.1916,1.4725
-0.8249,-7.5805
0.0035,0.0351
0.8319,6.2986
7.5766,6.9911
7.3159,3.0567
0.8149,-5.9245
-2.6423,-6.0708
-0.0010,0.0251
8.3590,4.0819
8.9732,2.8025
4.9590,-6.1116
2.3819,-4.9764
4.8618,-0.2923
-0.0043,0.0162
7.8154,-7.8939
4.8590,-25.0511
2.1239,-27.8115
1.9766,-15.8583
2.4512,-7.9228
0.0010,0.0446
