phi_r,theta_r
95.5757,-45.0706
103.6324,-64.0372
106.0404,-72.0753
112.3493,-84.4052
0.0119,-0.0276
96.7515,-111.1665
82.0470,-109.9922
62.9996,-127.4465
50.4626,-151.7525
27.0972,-159.6463
5.5846,-155.1794
-12.9333,-153.9654
-27.0983,-164.2355
-39.7376,-178.2336
-68.0669,-148.2476
-0.0169,-0.0352
-136.7352,-150.8244
-160.2310,-154.6194
-172.8865,-138.8866
-186.5306,-112.6031
-189.6682,-77.9227
-171.5677,-44.7542
-141.7413,-43.2895
-124.9886,-29.3877
-137.6644,3.8342
-143.9694,29.7017
0.0275,-0.0245
-61.2413,9.7291
-39.2418,16.6323
-27.1270,26.9751
-15.1861,21.8280
-4.9588,10.0342
-0.4410,9.7759
2.9107,2.8165
-9.1611,-10.2392
-14.4908,-12.2912
-0.1703,-9.0880
-0.0234,0.0206
21.0631,2.1053
16.8929,2.8137
8.8200,0.1462
5.4893,3.5185
7.3530,3.1012
11.9576,6.4254
13.6699,6.2239
11.8620,2.2645
8.0766,1.4245
5.0482,1.4149
-0.0156,0.0025
12.9958,3.5068
16.9493,0.4583
16.0662,-3.5081
