Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Gyroscope X (rad/s),Gyroscope Y (rad/s),Gyroscope Z (rad/s)
4.67E-05,-0.02434708,0.9921918,0.07828153,0.08692276,0.03577989
-0.002855962,-0.02242923,0.9907458,-0.04495392,-0.03257215,-0.08630492
0.004871645,-0.02094373,0.9961016,-0.106437,-0.09222414,-0.02524365
-0.000931609,-0.01516402,0.9956546,-0.04474444,-0.151895,0.09686622
0.000530321,-0.01997946,0.9965976,0.01679331,0.02744952,0.03584921
-0.000935332,-0.01808153,0.9917439,0.07836978,-0.0324092,0.09679535
0.0038949,-0.0243652,0.9887823,0.07823269,0.1468228,0.09673126
0.003435591,-0.02237657,0.9985272,-0.1681592,-0.09218954,0.03563773
-0.001402552,-0.02338366,0.9921987,-0.0450816,0.1467166,0.03549711
-0.001403787,-0.01853715,0.996121,0.01647589,0.1467199,-0.02544283
0.001491101,-0.01853199,0.9966056,0.07805279,0.02716864,-0.1475657
4.59E-05,-0.02240908,0.9936633,-0.04516305,0.1466517,0.03565067
-0.004313553,-0.01711954,0.9917523,-0.04512565,0.08675583,0.09669289
-0.002835661,-0.02432525,0.996087,0.1395497,0.08672195,0.1576201
-0.000439756,-0.01999218,0.9946517,0.01635337,-0.03286656,0.0965651
0.001493113,-0.02095225,0.995131,0.07791106,-0.09255569,0.1574925
-0.000918287,-0.02143929,0.9946433,-0.04520791,0.08673307,0.03533147
0.003418857,-0.0180483,0.9966071,-0.10671,0.02681865,0.09637412
-0.004781084,-0.02339217,0.991228,-0.04511379,0.08653414,0.03524273
0.002442884,-0.02340777,0.9878161,0.0781187,-0.2121516,-0.08680306
-0.001869306,-0.02723003,0.9941222,-0.1066368,0.146291,0.0353075
0.000537136,-0.02481398,0.9946216,0.1396941,0.08645187,0.09619681
-0.000432471,-0.01900668,0.998064,0.07809511,0.1460362,0.09617182
-0.000420072,-0.01946494,1.001954,-0.04508211,0.1459654,-0.2701452
0.001003116,-0.01902959,0.9941698,-0.168182,-0.1528888,-0.0259179
-0.001412623,-0.02001089,0.9917325,-0.106542,-0.2124564,0.09614637
0.003408626,-0.01952504,0.9917318,0.01667097,0.08642506,-0.02595674
-0.000909762,-0.02093605,0.9980527,0.01663068,0.08641032,-0.02598165
-0.002865411,-0.01711546,0.9922379,0.07816869,0.02651507,0.03506135
0.002452342,-0.01999302,0.9941628,-0.04496994,-0.03317361,0.09606598
0.001985433,-0.02432465,0.9955968,0.1397825,0.02652342,0.03495413
-0.00045231,-0.02001917,0.990272,0.2629375,0.146026,-0.08714881
0.00242507,-0.01374774,0.9903079,-0.1066495,0.02641929,-0.02618233
0.00101381,-0.02046135,0.9965943,0.1398168,0.145922,-0.02626445
0.003398551,-0.02051654,0.9873462,-0.04495815,0.02624031,0.1567996
0.000513583,-0.02001545,0.9907579,-0.1680388,0.145687,0.1567751
-0.000445025,-0.01903367,0.9936842,0.07831113,-0.03364978,0.1566548
0.000517616,-0.01612744,0.9956477,-0.0448857,-0.03360753,-0.02638124
0.001961257,-0.02146713,0.9897747,-0.04484867,0.1457198,-0.02648227
0.001003116,-0.01902959,0.9941698,-0.04485038,0.02615091,0.09559086
-0.000436193,-0.02192418,0.9941533,0.01674551,-0.0336874,-0.08752193
0.001951031,-0.01857961,0.988819,0.07832206,0.1456775,-0.02642081
-0.002385024,-0.01857385,0.9902822,0.1398599,0.1456447,0.09565225
-0.001411694,-0.02146365,0.9907506,-0.04491505,0.02609473,0.03457927
-0.002385797,-0.01663585,0.9917538,0.1398567,0.1456166,0.09558451
5.47E-05,-0.02093533,0.9980519,0.07816085,0.02610425,0.03449245
0.002917235,-0.01760539,0.990284,-0.04501644,-0.03382782,0.03446828
-0.001396351,-0.02143066,0.9961035,-0.04490186,-0.1532462,0.278543
0.000993508,-0.01856534,0.9912528,-0.0450002,-0.2726271,-0.02664773
0.002951948,-0.02237993,0.9980409,-0.04492434,0.08598526,-0.02674844
0.001004818,-0.02242035,0.9917161,0.01671032,-0.03360234,0.09534417
0.001003734,-0.02145285,0.9922086,0.01668932,-0.3323061,-0.0267771
-0.003328754,-0.01901484,0.9970928,-0.04477453,-0.1530164,0.1563067
0.001975984,-0.01901088,0.9970888,0.01680195,-0.03351348,-0.08781599
-0.000931614,-0.01952828,0.9917351,0.01681951,-0.1531762,-0.0878782
-0.004308284,-0.01807805,0.9927198,0.07849267,-0.03356048,-0.02687249
0.000512654,-0.0185627,0.9917399,-0.1678749,-0.09318422,0.2172134
-0.001390615,-0.02093341,0.9985397,-0.1062985,-0.03344934,-0.02704334
-0.002873936,-0.01761871,0.9888285,-0.2293795,0.08607228,0.03402014
0.001477151,-0.01856198,0.9917392,0.07854843,-0.03338406,-0.1491878
-0.006712091,-0.02097335,0.9927041,0.1401441,-0.03337967,-0.02707556
0.000523502,-0.01950921,0.9946539,0.1401421,0.02631763,-0.02711821
-0.000916892,-0.02143629,0.9951299,0.01694495,0.02639714,-0.08813282
-0.001392632,-0.02287741,0.9960947,0.01696235,0.02649538,0.2170679
0.003891963,-0.01612793,0.9951584,0.1400975,-0.1526917,-0.08812231
0.003421024,-0.0199833,0.995622,-0.1062174,0.02669138,0.03397072
0.001508297,-0.02576877,0.9960749,0.1401517,-0.1526085,0.09488091
-0.005264105,-0.02145453,0.9927,-0.04458502,-0.09283648,0.03382804
0.002950086,-0.02383868,0.9960855,0.01689449,-0.1525816,0.03380472
-0.000440995,-0.01950993,0.9946546,-0.04460825,-0.09280968,0.03380058
-0.001403787,-0.01853715,0.996121,0.01692934,-0.1524986,-0.02729056
-0.002392931,-0.02150036,0.9849116,-0.1061517,0.0267904,0.09470691
-0.00043108,-0.02336794,0.9946312,0.07846494,-0.3317008,-0.08840476
0.00052288,-0.02145021,0.9926956,0.0783664,0.02694822,0.1557477
-0.001866357,-0.02237453,0.9995044,-0.04475315,0.1465065,0.09458004
-0.000457268,-0.01809016,0.9902837,-0.1063332,-0.2120412,-0.08858898
-0.000440689,-0.02290368,0.9917142,0.07845774,-0.09246417,0.03352382
-0.002360849,-0.02143138,0.9961042,-0.04473928,-0.1521535,-0.02750947
0.002452649,-0.02338678,0.9912224,0.01679844,0.02719133,0.03349709
0.000526292,-0.01950321,0.9956272,-0.1063405,-0.09235997,-0.02757452
-0.003333249,-0.01999434,0.9946539,0.07854716,-0.09228151,0.09449996
-0.001897662,-0.02001725,0.9907598,0.01690895,0.08711948,0.03340926
-0.002388742,-0.0171271,0.990291,0.07854328,-0.03243201,0.09439682
0.00102109,-0.02384012,0.996087,0.1400615,-0.09221553,-0.02766574
